SeriesInd,group,Var02,Var03
2011-05-06,S02,60855800,10.05
2011-05-07,S02,215620200,10.4
2011-05-08,S02,200070600,11.13
2011-05-09,S02,130201700,11.32
2011-05-10,S02,130463000,11.46
2011-05-13,S02,170626200,11.78
2011-05-14,S02,162995900,11.72
2011-05-15,S02,154527100,11.47
2011-05-16,S02,116531200,11.51
2011-05-17,S02,96149800,11.55
2011-05-21,S02,65934000,11.46
2011-05-22,S02,71649500,11.5
2011-05-23,S02,121451400,11.01
2011-05-24,S02,161530100,10.41
2011-05-27,S02,121621500,10.61
2011-05-28,S02,108250500,11.07
2011-05-29,S02,105091600,11.22
2011-05-30,S02,203320000,11.27
2011-05-31,S02,159741200,10.7
2011-06-03,S02,82748200,10.93
2011-06-04,S02,119714900,11.19
2011-06-05,S02,90125500,11.42
2011-06-06,S02,129792200,11
2011-06-07,S02,181535200,10.49
2011-06-10,S02,92031400,10.88
2011-06-11,S02,83207100,11.02
2011-06-12,S02,73395600,10.9
2011-06-13,S02,65116200,10.88
2011-06-14,S02,69465400,10.85
2011-06-18,S02,62537500,11.11
2011-06-19,S02,65983200,11.35
2011-06-20,S02,53406800,11.29
2011-06-21,S02,46990000,11.26
2011-06-24,S02,41993100,11.18
2011-06-25,S02,114688400,11.15
2011-06-26,S02,84200800,11.65
2011-06-27,S02,83114500,11.4
2011-06-28,S02,72368400,11.61
2011-07-01,S02,142605500,11.75
2011-07-02,S02,193706600,12.18
2011-07-03,S02,157004600,12.35
2011-07-04,S02,89836800,12.52
2011-07-05,S02,106920600,12.83
2011-07-08,S02,78903200,12.79
2011-07-09,S02,83934300,12.73
2011-07-10,S02,56850600,12.8
2011-07-11,S02,59274700,12.75
2011-07-12,S02,104771000,12.98
2011-07-15,S02,95072200,13.32
2011-07-16,S02,74692700,13.32
2011-07-17,S02,137318700,13.55
2011-07-18,S02,235094400,13.65
2011-07-19,S02,252411200,13.04
2011-07-22,S02,170576100,12.81
2011-07-23,S02,167002400,13.81
2011-07-24,S02,91765400,13.76
2011-07-25,S02,88909300,13.76
2011-07-26,S02,60400400,13.76
2011-07-29,S02,158225000,13.39
2011-07-30,S02,142055200,13.18
2011-07-31,S02,433659100,12.42
2011-08-01,S02,212952100,12.58
2011-08-05,S02,88957200,12.76
2011-08-06,S02,76423800,12.6
2011-08-07,S02,88112400,12.53
2011-08-08,S02,77491400,12.34
2011-08-09,S02,60408600,12.61
2011-08-12,S02,50783100,12.64
2011-08-13,S02,71008500,12.71
2011-08-14,S02,153602100,12.86
2011-08-15,S02,159110500,13.41
2011-08-16,S02,149640000,13.3
2011-08-19,S02,95855100,13.36
2011-08-20,S02,75630700,13.67
2011-08-21,S02,120284000,13.92
2011-08-22,S02,93331100,13.85
2011-08-23,S02,92002200,14.11
2011-08-26,S02,123029200,14.28
2011-08-27,S02,292667400,13.15
2011-08-28,S02,208023500,12.9
