"Index","mean"
"1",876992.670051618
"2",388815.585810787
"3",145558.72182286
"4",100788.175091461
"5",194150.117879497
"6",274602.3497729
"7",328782.078268785
"8",351056.937470637
"9",350909.035400439
"10",343258.803535394
"11",335331.281472146
"12",330425.396838031
"13",328642.227989582
"14",328716.646465121
"15",329489.830572807
"16",330228.195374256
"17",330663.659507574
"18",330814.26737613
"19",330796.18339232
"20",330720.423192326
"21",330652.100191588
"22",330613.231169923
"23",330600.854529224
"24",330603.478584138
"25",330610.840575971
"26",330617.153472191
"27",330620.600815983
"28",330621.60309783
"29",330621.275253946
"30",330620.564204608
"31",330619.983248854
"32",330619.678817338
"33",330619.599334178
"34",330619.63726716
"35",330619.705514541
"36",330619.758794044
"37",330619.785546287
"38",330619.791675055
"39",330619.787490923
"40",330619.780976527
"41",330619.776107289
"42",330619.773768903
"43",330619.77331468
"44",330619.773761429
"45",330619.774380089
"46",330619.774823537
"47",330619.775026745
"48",330619.775058416
"49",330619.775011837
"50",330619.774953361
"51",330619.774913118
"52",330619.774895572
"53",330619.774893589
"54",330619.774898358
"55",330619.77490386
"56",330619.774907499
"57",330619.774909003
"58",330619.774909101
"59",330619.774908619
"60",330619.774908104
"61",330619.774907776
"62",330619.774907648
"63",330619.774907647
"64",330619.774907695
"65",330619.774907743
"66",330619.774907772
"67",330619.774907783
"68",330619.774907783
"69",330619.774907778
"70",330619.774907773
"71",330619.774907771
"72",330619.77490777
"73",330619.77490777
"74",330619.77490777
"75",330619.774907771
"76",330619.774907771
"77",330619.774907771
"78",330619.774907771
"79",330619.774907771
"80",330619.774907771
"81",330619.774907771
"82",330619.774907771
"83",330619.774907771
"84",330619.774907771
"85",330619.774907771
"86",330619.774907771
"87",330619.774907771
"88",330619.774907771
"89",330619.774907771
"90",330619.774907771
"91",330619.774907771
"92",330619.774907771
"93",330619.774907771
"94",330619.774907771
"95",330619.774907771
"96",330619.774907771
"97",330619.774907771
"98",330619.774907771
"99",330619.774907771
"100",330619.774907771
"101",330619.774907771
"102",330619.774907771
"103",330619.774907771
"104",330619.774907771
"105",330619.774907771
"106",330619.774907771
"107",330619.774907771
"108",330619.774907771
"109",330619.774907771
"110",330619.774907771
"111",330619.774907771
"112",330619.774907771
"113",330619.774907771
"114",330619.774907771
"115",330619.774907771
"116",330619.774907771
"117",330619.774907771
"118",330619.774907771
"119",330619.774907771
"120",330619.774907771
"121",330619.774907771
"122",330619.774907771
"123",330619.774907771
"124",330619.774907771
"125",330619.774907771
"126",330619.774907771
"127",330619.774907771
"128",330619.774907771
"129",330619.774907771
"130",330619.774907771
"131",330619.774907771
"132",330619.774907771
"133",330619.774907771
"134",330619.774907771
"135",330619.774907771
"136",330619.774907771
"137",330619.774907771
"138",330619.774907771
"139",330619.774907771
"140",330619.774907771
