"Index","mean"
"1",-1559016.27319021
"2",-792503.918487285
"3",-354612.595148029
"4",-217898.962044884
"5",-287839.621639585
"6",-387015.322182445
"7",-413757.827256593
"8",-381267.16609581
"9",-346519.262610317
"10",-339792.773419654
"11",-352579.973236099
"12",-364282.988206699
"13",-365615.390146183
"14",-360692.607863475
"15",-356808.344541501
"16",-356701.890033961
"17",-358555.630001592
"18",-359822.539583515
"19",-359734.397482629
"20",-359049.296321264
"21",-358644.204516001
"22",-358718.129688492
"23",-358967.15022425
"24",-359093.650561139
"25",-359053.194018624
"26",-358964.052661417
"27",-358925.699225059
"28",-358944.7202526
"29",-358976.171433308
"30",-358987.352738214
"31",-358979.101970541
"32",-358968.160805313
"33",-358965.080117294
"34",-358968.480293863
"35",-358972.232943914
"36",-358973.007166366
"37",-358971.655983504
"38",-358970.387570735
"39",-358970.225863884
"40",-358970.748058983
"41",-358971.170171895
"42",-358971.188065892
"43",-358970.99075788
"44",-358970.852660639
"45",-358970.859913419
"46",-358970.933049139
"47",-358970.977361291
"48",-358970.970169129
"49",-358970.943515092
"50",-358970.929618299
"51",-358970.933714904
"52",-358970.943279803
"53",-358970.947516163
"54",-358970.945554471
"55",-358970.94217174
"56",-358970.940927482
"57",-358970.941787611
"58",-358970.942967144
"59",-358970.943313803
"60",-358970.942956763
"61",-358970.94255124
"62",-358970.942462427
"63",-358970.942605069
"64",-358970.942742478
"65",-358970.942761845
"66",-358970.942706486
"67",-358970.942660636
"68",-358970.942658017
"69",-358970.942679007
"70",-358970.942694052
"71",-358970.942693513
"72",-358970.942685709
"73",-358970.942680865
"74",-358970.942681556
"75",-358970.942684408
"76",-358970.942685933
"77",-358970.94268552
"78",-358970.942684494
"79",-358970.942684027
"80",-358970.942684229
"81",-358970.942684592
"82",-358970.942684731
"83",-358970.942684641
"84",-358970.942684514
"85",-358970.942684475
"86",-358970.942684513
"87",-358970.942684556
"88",-358970.942684567
"89",-358970.942684552
"90",-358970.942684537
"91",-358970.942684534
"92",-358970.94268454
"93",-358970.942684545
"94",-358970.942684546
"95",-358970.942684543
"96",-358970.942684542
"97",-358970.942684542
"98",-358970.942684543
"99",-358970.942684543
"100",-358970.942684543
"101",-358970.942684543
"102",-358970.942684543
"103",-358970.942684543
"104",-358970.942684543
"105",-358970.942684543
"106",-358970.942684543
"107",-358970.942684543
"108",-358970.942684543
"109",-358970.942684543
"110",-358970.942684543
"111",-358970.942684543
"112",-358970.942684543
"113",-358970.942684543
"114",-358970.942684543
"115",-358970.942684543
"116",-358970.942684543
"117",-358970.942684543
"118",-358970.942684543
"119",-358970.942684543
"120",-358970.942684543
"121",-358970.942684543
"122",-358970.942684543
"123",-358970.942684543
"124",-358970.942684543
"125",-358970.942684543
"126",-358970.942684543
"127",-358970.942684543
"128",-358970.942684543
"129",-358970.942684543
"130",-358970.942684543
"131",-358970.942684543
"132",-358970.942684543
"133",-358970.942684543
"134",-358970.942684543
"135",-358970.942684543
"136",-358970.942684543
"137",-358970.942684543
"138",-358970.942684543
"139",-358970.942684543
"140",-358970.942684543
