"Index","mean"
"1",1379500
"2",1379500
"3",1379500
"4",1379500
"5",1379500
"6",1379500
"7",1379500
"8",1379500
"9",1379500
"10",1379500
"11",1379500
"12",1379500
"13",1379500
"14",1379500
"15",1379500
"16",1379500
"17",1379500
"18",1379500
"19",1379500
"20",1379500
"21",1379500
"22",1379500
"23",1379500
"24",1379500
"25",1379500
"26",1379500
"27",1379500
"28",1379500
"29",1379500
"30",1379500
"31",1379500
"32",1379500
"33",1379500
"34",1379500
"35",1379500
"36",1379500
"37",1379500
"38",1379500
"39",1379500
"40",1379500
"41",1379500
"42",1379500
"43",1379500
"44",1379500
"45",1379500
"46",1379500
"47",1379500
"48",1379500
"49",1379500
"50",1379500
"51",1379500
"52",1379500
"53",1379500
"54",1379500
"55",1379500
"56",1379500
"57",1379500
"58",1379500
"59",1379500
"60",1379500
"61",1379500
"62",1379500
"63",1379500
"64",1379500
"65",1379500
"66",1379500
"67",1379500
"68",1379500
"69",1379500
"70",1379500
"71",1379500
"72",1379500
"73",1379500
"74",1379500
"75",1379500
"76",1379500
"77",1379500
"78",1379500
"79",1379500
"80",1379500
"81",1379500
"82",1379500
"83",1379500
"84",1379500
"85",1379500
"86",1379500
"87",1379500
"88",1379500
"89",1379500
"90",1379500
"91",1379500
"92",1379500
"93",1379500
"94",1379500
"95",1379500
"96",1379500
"97",1379500
"98",1379500
"99",1379500
"100",1379500
"101",1379500
"102",1379500
"103",1379500
"104",1379500
"105",1379500
"106",1379500
"107",1379500
"108",1379500
"109",1379500
"110",1379500
"111",1379500
"112",1379500
"113",1379500
"114",1379500
"115",1379500
"116",1379500
"117",1379500
"118",1379500
"119",1379500
"120",1379500
"121",1379500
"122",1379500
"123",1379500
"124",1379500
"125",1379500
"126",1379500
"127",1379500
"128",1379500
"129",1379500
"130",1379500
"131",1379500
"132",1379500
"133",1379500
"134",1379500
"135",1379500
"136",1379500
"137",1379500
"138",1379500
"139",1379500
"140",1379500
